activity_id,athlete_id,activity_date,week_number,days_before_race,activity_type,distance_km,duration_min,pace_min_per_km,avg_heart_rate,max_heart_rate,elevation_gain_m,calories,weekly_km,weekly_duration_min,weekly_run_count,weekly_avg_pace,weekly_avg_hr,weekly_elevation_gain_m,longest_run_km,rolling_4w_km,avg_weekly_km_last_4w,active_weeks_last_4w,rolling_4w_duration_min,athlete_profile,training_scenario,sex,age,estimated_max_hr,source,race_10k_finish_time_min,race_10k_finish_time_seconds,race_10k_finish_time_hhmmss,race_10k_pace_min_per_km
ACT000001,A001,2026-01-07,1,89,easy_run,26.82,144.93,5.4,147,170,102.2,1950,48.3,260.35,3.0,5.389128364389234,137.33333333333334,268.9,26.82,48.3,48.3,1.0,260.35,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000002,A001,2026-01-08,1,88,easy_run,7.93,41.09,5.18,133,147,68.6,644,48.3,260.35,3.0,5.389128364389234,137.33333333333334,268.9,26.82,48.3,48.3,1.0,260.35,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000003,A001,2026-01-11,1,85,easy_run,13.55,74.33,5.49,132,140,98.1,1065,48.3,260.35,3.0,5.389128364389234,137.33333333333334,268.9,26.82,48.3,48.3,1.0,260.35,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000004,A001,2026-01-12,2,84,interval_run,20.5,97.94,4.78,163,175,195.6,1653,43.96,224.92000000000002,3.0,5.116210191082803,142.33333333333334,296.29999999999995,20.5,92.25999999999999,46.129999999999995,2.0,485.27000000000004,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000005,A001,2026-01-14,2,82,easy_run,7.84,42.45,5.41,129,138,15.1,509,43.96,224.92000000000002,3.0,5.116210191082803,142.33333333333334,296.29999999999995,20.5,92.25999999999999,46.129999999999995,2.0,485.27000000000004,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000006,A001,2026-01-18,2,78,easy_run,15.62,84.53,5.41,135,147,85.6,985,43.96,224.92000000000002,3.0,5.116210191082803,142.33333333333334,296.29999999999995,20.5,92.25999999999999,46.129999999999995,2.0,485.27000000000004,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000007,A001,2026-01-19,3,77,easy_run,25.03,126.91,5.07,140,154,148.5,1934,40.13,208.1,3.0,5.185512085721405,134.0,242.6,25.03,132.39,44.129999999999995,3.0,693.37,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000008,A001,2026-01-21,3,75,easy_run,4.55,24.41,5.37,139,149,69.4,296,40.13,208.1,3.0,5.185512085721405,134.0,242.6,25.03,132.39,44.129999999999995,3.0,693.37,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000009,A001,2026-01-25,3,71,recovery_run,10.55,56.78,5.38,123,146,24.7,664,40.13,208.1,3.0,5.185512085721405,134.0,242.6,25.03,132.39,44.129999999999995,3.0,693.37,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000010,A001,2026-01-26,4,70,tempo_run,21.48,102.65,4.78,169,180,121.4,1397,61.93,319.24,5.0,5.155189730340708,141.6,252.7,21.48,194.32,48.58,4.0,1012.61,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
