athlete_id,athlete_profile,training_scenario,sex,age,estimated_max_hr,total_3month_km,total_3month_duration_min,total_runs,avg_training_pace_min_per_km,avg_heart_rate,max_heart_rate_observed,total_elevation_gain_m,longest_run_km,last_4w_km,avg_weekly_km_last_4w,active_weeks_last_4w,avg_weekly_runs_last_4w,base_weekly_km_plan,typical_runs_per_week_plan,base_10k_race_pace_min_per_km,consistency_trait,hr_efficiency_factor,race_10k_pace_min_per_km,race_10k_finish_time_min,race_10k_finish_time_seconds,race_10k_finish_time_hhmmss
A001,intermediate,progressive_build,M,22,180,717.05,3768.59,56,5.2559193919531415,142.23214285714286,180,5051.4,33.76,257.5,64.375,4,5.0,57.4,4,4.83,0.726,1.044,4.59,45.89,2754.0,00:45:54
A002,beginner,minor_injury,F,44,170,125.89,1002.77,18,7.966503296528716,115.55555555555556,144,952.3,14.28,40.44,10.11,4,1.25,13.5,2,7.02,0.805,0.938,7.3,72.95,4377.0,01:12:57
A003,beginner,minor_injury,M,43,172,233.82,1920.37,16,8.211779146351894,114.9375,145,1444.3,25.68,73.91,18.4775,4,1.0,21.7,1,7.07,0.98,0.931,7.16,71.59,4295.0,01:11:35
A004,recreational,progressive_build,M,36,180,486.33,2969.38,40,6.106572080685954,126.225,178,2685.4,26.86,173.24,43.31,4,3.5,36.8,3,5.36,0.98,0.96,5.23,52.31,3138.0,00:52:18
A005,recreational,progressive_build,M,40,174,463.98,2783.3,34,5.998645200224148,128.8235294117647,174,3356.3,33.36,171.51,42.8775,4,3.25,36.3,3,5.3,0.866,1.029,5.12,51.15,3069.0,00:51:09
A006,recreational,consistent,M,24,193,324.68,1955.53,48,6.023266908956511,126.95833333333333,179,2698.9,14.96,100.86,25.215,4,3.5,25.9,4,5.28,0.877,0.889,5.16,51.59,3095.0,00:51:35
A007,advanced,consistent,M,25,196,784.72,3234.41,74,4.121490850239576,154.1891891891892,196,6936.1,27.35,238.82999999999998,59.707499999999996,4,6.0,62.2,6,3.63,0.774,1.006,3.47,34.66,2079.0,00:34:39
A008,advanced,consistent,M,43,174,894.12,4111.71,59,4.598153491701337,119.0677966101695,163,6218.8,36.31,273.95,68.4875,4,4.75,69.1,5,4.15,0.81,0.889,3.97,39.74,2385.0,00:39:45
A009,intermediate,consistent,F,25,189,600.83,3177.56,59,5.2888487592164175,142.71186440677965,189,5336.1,30.21,198.35999999999999,49.589999999999996,4,4.5,46.2,5,4.55,0.591,1.004,4.49,44.92,2695.0,00:44:55
A010,beginner,consistent,M,41,177,127.87,923.37,27,7.221912880269023,131.0,172,1207.5,10.73,38.64,9.66,4,2.25,9.7,2,6.23,0.945,1.038,6.17,61.7,3702.0,01:01:42
